REF1,REF2,REF3
24PC0599_044,24PC1285_043,
24PC0600_004,24PC1286_044,
24PC0601_046,24PC1287_045,
24PC0602_047,24PC1288_046,
24PC0603_048,24PC1289_047,
24PC0605_002,24PC1290_048,
24PC0606_003,24PC1291_001,
24PC0607_004,24PC1292_009,
24PC0608_005,24PC1293_010,
24PC0614_011,24PC1294_011,
24PC0615_012,24PC1295_012,
24PC0624_022,24PC1296_013,
24PC0628_032,24PC1297_014,
24PC0629_033,24PC1298_015,
24PC0630_034,24PC1299_016,
24PC0631_035,24PC1300_021,
24PC0633_037,24PC1302_020,
24PC0634_038,24PC1303_021,
24PC0636_040,24PC1304_022,
24PC0637_041,24PC1305_023,
24PC0638_011,24PC1306_024,
24PC0640_044,24PC1307_025,
24PC0641_045,24PC1308_026,
24PC0642_046,24PC1309_027,
24PC0644_048,24PC1310_028,
24PC0645_001,24PC1311_029,
24PC0647_007,24PC1312_030,
24PC0649_009,24PC1313_031,
24PC0650_010,24PC1314_032,
24PC0651_011,24PC1315_033,
24PC0657_017,24PC1316_034,
24PC0659_020,24PC1317_035,
24PC0668_029,24PC1319_037,
24PC0669_030,24PC1320_038,
24PC0671_032,24PC1321_039,
24PC0672_033,24PC1322_040,
24PC0686_036,24PC1324_042,
24PC0687_004,24PC1325_046,
24PC0688_005,24PC1326_047,
24PC0693_010,24PC1327_048,
24PC0694_012,24PC1329_002,
24PC0696_014,24PC1330_003,
24PC0697_015,24PC1331_004,
24PC0701_020,24PC1332_005,
24PC0702_021,24PC1333_006,
24PC0706_025,24PC1335_009,
24PC0710_029,24PC1336_008,
24PC0713_032,24PC1337_010,
24PC0714_033,24PC1338_011,
24PC0717_037,24PC1340_013,
24PC0720_040,24PC1341_014,
24PC0723_043,24PC1342_015,
24PC0725_045,24PCP076_029,
24PC0726_046,24PCP077_030,
24PC0727_047,24PCP078_031,
24PC0731_003,24PCP079_032,
24PC0732_004,24PCP080_016,
24PC0733_005,24PCP081_003,
24PC0734_006,24PCP082_004,
24PC0735_007,24PCP083_005,
24PC0736_008,24PCP084_017,
24PC0737_009,24PCP085_019,
24PC0739_011,24PCP086_020,
24PC0740_012,24PCP087_043,
24PC0741_013,24PCP088_044,
24PC0742_022,24PCP089_045,
24PC0743_023,24PCP091_022,
24PC0744_024,24PCP092_023,
24PC0745_025,24PCP093_024,
24PC0747_027,24PCP094_025,
24PC0748_028,24PCP095_026,
24PC0749_029,24PCP096_027,
24PC0750_030,24PCP097_046,
24PC0751_031,24PCP098_017,
24PC0754_014,24PCP099_019,
24PC0756_034,24PCP100_019,
24PC0757_035,24PCP101_021,
24PC0760_028,24PCP102_022,
24PC0762_040,24PCP103_003,
24PC0763_041,24PCP104_004,
24PC0764_042,24PCP105_005,
24PC0765_043,24PCP106_006,
24PC0767_045,24PCP107_007,
24PC0768_046,24PCP108_008,
24PC0770_023,24PCP109_045,
24PC0771_001,sample,
24PC0772_002,,
24PC0773_003,,
24PC0774_004,,
24PC0775_005,,
24PC0776_024,,
24PC0779_009,,
24PC0780_010,,
24PC0781_011,,
24PC0782_012,,
24PC0783_013,,
24PC0784_014,,
24PC0786_016,,
24PC0788_023,,
24PC0789_024,,
24PC0790_025,,
24PC0791_026,,
24PC0792_027,,
24PC0793_028,,
24PC0795_030,,
24PC0796_031,,
24PC0797_032,,
24PC0798_033,,
24PC0799_034,,
24PC0801_044,,
24PC0802_045,,
24PC0803_046,,
24PC0804_047,,
24PC0805_048,,
24PC0806_001,,
24PC0807_002,,
24PC0808_003,,
24PC0810_005,,
24PC0811_006,,
24PC0812_007,,
24PC0813_008,,
24PC0814_009,,
24PC0815_010,,
24PC0816_011,,
24PC0818_013,,
24PC0819_014,,
24PC0820_015,,
24PC0821_016,,
24PC0822_017,,
24PC0823_019,,
24PC0824_020,,
24PC0825_021,,
24PC0827_041,,
24PC0828_042,,
24PC0829_025,,
24PC0831_029,,
24PC0832_030,,
24PC0833_031,,
24PC0834_032,,
24PC0835_033,,
24PC0838_044,,
24PC0840_046,,
24PC0842_048,,
24PC0844_002,,
24PC0845_003,,
24PC0846_004,,
24PC0847_005,,
24PC0848_006,,
24PC0851_007,,
24PC0852_010,,
24PC0853_011,,
24PC0854_012,,
24PC0855_013,,
24PC0856_013,,
24PC0858_016,,
24PC0859_017,,
24PC0861_020,,
24PC0862_021,,
24PC0863_022,,
24PC0864_023,,
24PC0865_024,,
24PC0867_026,,
24PC0868_027,,
24PC0869_012,,
24PC0870_031,,
24PC0871_032,,
24PC0872_033,,
24PC0873_034,,
24PC0874_035,,
24PC0875_036,,
24PC0876_037,,
24PC0877_038,,
24PC0878_039,,
24PC0879_040,,
24PC0880_041,,
24PC0881_042,,
24PC0882_043,,
24PC0883_044,,
24PC0884_045,,
24PC0885_046,,
24PC0887_048,,
24PC0888_001,,
24PC0889_002,,
24PC0890_003,,
24PC0892_009,,
24PC0893_014,,
24PC0894_005,,
24PC0896_009,,
24PC0897_008,,
24PC0898_014,,
24PC0899_015,,
24PC0901_017,,
24PC0902_019,,
24PC0903_011,,
24PC0904_020,,
24PC0905_021,,
24PC0906_022,,
24PC0907_023,,
24PC0908_024,,
24PC0909_025,,
24PC0912_028,,
24PC0913_029,,
24PC0915_031,,
24PC0917_033,,
24PC0918_034,,
24PC0919_035,,
24PC0920_036,,
24PC0921_037,,
24PC0923_039,,
24PC0925_041,,
24PC0927_043,,
24PC0928_044,,
24PC0929_045,,
24PC0932_048,,
24PC0933_001,,
24PC0935_003,,
24PC0936_005,,
24PC0937_006,,
24PC0939_008,,
24PC0940_009,,
24PC0941_010,,
24PC0942_011,,
24PC0943_012,,
24PC0944_013,,
24PC0945_014,,
24PC0947_016,,
24PC0948_017,,
24PC0950_020,,
24PC0951_021,,
24PC0952_022,,
24PC0953_023,,
24PC0954_024,,
24PC0955_025,,
24PC0956_031,,
24PC0957_032,,
24PC0958_033,,
24PC0959_034,,
24PC0960_035,,
24PC0961_036,,
24PC0962_037,,
24PC0963_038,,
24PC0964_039,,
24PC0965_040,,
24PC0967_042,,
24PC0968_043,,
24PC0969_044,,
24PC0970_047,,
24PC0971_046,,
24PC0974_001,,
24PC0975_002,,
24PC0976_003,,
24PC0977_004,,
24PC0978_007,,
24PC0979_008,,
24PC0980_009,,
24PC0982_011,,
24PC0983_012,,
24PC0986_015,,
24PC0989_019,,
24PC0993_023,,
24PC0995_025,,
24PC0996_026,,
24PC0998_028,,
24PC0999_034,,
24PC1000_035,,
24PC1001_036,,
24PC1003_038,,
24PC1004_039,,
24PC1005_040,,
24PC1006_041,,
24PC1007_042,,
24PC1008_043,,
24PC1009_044,,
24PC1010_045,,
24PC1011_046,,
24PC1012_047,,
24PC1013_048,,
24PC1015_002,,
24PC1017_004,,
24PC1018_005,,
24PC1019_006,,
24PC1020_007,,
24PC1021_011,,
24PC1022_012,,
24PC1023_013,,
24PC1024_014,,
24PC1025_015,,
24PC1026_016,,
24PC1027_017,,
24PC1028_019,,
24PC1029_020,,
24PC1030_021,,
24PC1031_022,,
24PC1033_024,,
24PC1034_025,,
24PC1035_026,,
24PC1037_028,,
24PC1038_029,,
24PC1039_030,,
24PC1040_031,,
24PC1041_032,,
24PC1043_036,,
24PC1044_037,,
24PC1045_038,,
24PC1046_039,,
24PC1047_040,,
24PC1048_041,,
24PC1049_042,,
24PC1050_043,,
24PC1051_044,,
24PC1052_045,,
24PC1053_042,,
24PC1055_048,,
24PC1056_001,,
24PC1057_002,,
24PC1059_004,,
24PC1060_005,,
24PC1061_006,,
24PC1065_010,,
24PC1066_011,,
24PC1067_012,,
24PC1068_013,,
24PC1069_014,,
24PC1070_015,,
24PC1071_016,,
24PC1072_023,,
24PC1074_025,,
24PC1077_028,,
24PC1078_029,,
24PC1079_030,,
24PC1080_031,,
24PC1081_032,,
24PC1082_033,,
24PC1085_036,,
24PC1086_037,,
24PC1088_039,,
24PC1089_040,,
24PC1090_041,,
24PC1091_043,,
24PC1092_044,,
24PC1093_045,,
24PC1095_047,,
24PC1096_048,,
24PC1097_001,,
24PC1098_002,,
24PC1100_004,,
24PC1101_005,,
24PC1102_006,,
24PC1104_008,,
24PC1105_009,,
24PC1106_010,,
24PC1108_012,,
24PC1109_013,,
24PC1110_014,,
24PC1111_015,,
24PC1112_016,,
24PC1114_019,,
24PC1115_020,,
24PC1116_021,,
24PC1117_022,,
24PC1118_023,,
24PC1119_024,,
24PC1120_025,,
24PCP010_023,,
24PCP011_024,,
24PCP012_001,,
24PCP013_008,,
24PCP014_009,,
24PCP015_021,,
24PCP016_022,,
24PCP017_023,,
24PCP018_025,,
24PCP019_026,,
24PCP020_027,,
24PCP021_027,,
24PCP022_028,,
24PCP024_030,,
24PCP025_031,,
24PCP026_005,,
24PCP027_006,,
24PCP028_035,,
24PCP030_016,,
24PCP031_017,,
24PCP032_019,,
24PCP033_020,,
24PCP035_017,,
24PCP036_019,,
24PCP037_020,,
24PCP038_021,,
24PCP039_038,,
24PCP040_039,,
24PCP041_040,,
24PCP042_041,,
24PCP043_042,,
24PCP046_037,,
24PCP047_038,,
24PCP048_039,,
24PCP050_028,,
24PCP051_029,,
24PCP052_012,,
24PCP053_026,,
24PCP054_027,,
24PCP055_028,,
24PCP057_030,,
24PCP058_005,,
24PCP059_006,,
24PCP060_029,,
24PCP061_030,,
24PCP064_033,,
24PCP065_008,,
24PCP066_009,,
24PCP067_010,,
24PCP068_033,,
24PCP069_034,,
24PCP071_019,,
24PCP072_020,,
24PCP073_021,,
24PCP074_022,,
sample1,,
